,vocab,meaning
3513,assure,"vt.保证,确告,担保 "
3514,spate,"n.泛滥,洪水,一阵,大量 "
3515,commonplace,"n.常事,老生常谈,普通的东西a.平凡的,陈腐的 "
3516,toxic,"a.有毒的,中毒的 "
3517,remedial,"a.治疗的,补救的,矫正的 "
3518,pretext,"n.借口,托辞v.借口 "
3519,repetitive,"a.重复的,反复性的 "
3520,encore,n.再演唱的要求vt.要求再演或唱 
3521,rashly,"ad.轻率地,无见识地 "
3522,humane,"a.有人情的,人道的,仁慈的 "
3523,vengeful,"a.复仇心重的,报复的 "
3524,opt,vi.选择 
3525,persuasive,"a.有说服力的,善于游说的,令人信服的 "
3526,unflappable,"a.不慌张的,镇定的 "
3527,critical,"a.批评的,决定性的,危险的,临界的 "
3528,rehash,"vt.重讲,改头换面地重复n.改头换面地作品 "
3529,piety,"n.虔诚,孝行 "
3530,perspicacious,"a.聪颖的,聪明的,有洞察力的 "
3531,vocalize,"vt.使发声,使发成元音vi.发声,被发成元音 "
3532,procurement,"v.获得,取得;(必需品的)采购 "
3533,florid,"a.华丽的,红润的 "
3534,edible,"n.食品,食物a.可食用的 "
3535,lionize,"vt.以名人待之,游览…的名胜vi.结交名流 "
3536,integral,"n.积分,整数a.整体的,整数的,积分的n.积分 "
3537,nostalgia,"n.乡愁,向往过去,怀旧之情 "
3538,arbitration,"n.仲裁,公断 "
3539,repressive,"a.压抑的,抑制的,镇压的 "
3540,overshadow,"vt.遮阴,使阴暗,使失色 "
3541,pristine,"a.原来的,古时的,原始的 "
3542,bypass,"n.旁路vt.省略,绕过,忽视,回避 "
3543,rhetorical,"a.修辞学的,符合修辞学的,修辞的 "
3544,plausible,"a.似真实的,似合理的,巧嘴的 "
3545,corpulence,n.肥胖 
3546,maternal,"a.母亲的,母系的,母方的 "
3547,rhapsodize,"vi.用狂文描述,写狂想文,作狂想曲vt.狂热地说 "
3548,conservatism,"n.保守主义,保守性,保守的倾向 "
3549,instructive,"a.有益的,教育性的 "
3550,optimism,"n.乐观主义,乐观,乐天 "
3551,implausibility,n.不像真实的 
3552,veneration,"n.尊敬,崇敬,崇拜 "
3553,inexplicable,"a.不能说明的,不能解释的,费解的 "
3554,flimsy,"a.易坏的,脆弱的,浅薄的n.薄纸,描图用薄纸 "
3555,fallacious,"a.使人误解的,谬误的,不合理的 "
3556,exhaustive,"a.无遗漏的,彻底的,详尽的 "
3557,sophomoric,"a.⑴二年级学生的⑵幼稚而自大的,傲慢的 "
3558,barrage,"n.弹幕,掩护炮火vt.以密集炮火进攻 "
3559,circumvent,"vt.绕行,陷害,包围,智取 "
3560,strategist,"n.战略家,军事家,策士 "
3561,nonchalance,"n.不关心,冷淡,冷静 "
3562,concentration,"n.集中,集合,专心 "
3563,frisky,"a.乱跳的,欢闹的 "
3564,temperamental,"a.气质的,生来的,个性倔强的 "
3565,precocious,"a.早熟的,像大人的,早成的 "
3566,immorality,"n.不道德;品行不端正,淫荡,不贞,猥亵 "
3567,truculence,"n.野蛮,粗野,残酷 "
3568,coddle,"vt.娇养,溺爱,煮蛋n.娇生惯养的人,宝贝子弟 "
3569,detrimental,a.有害的 
3570,substantial,"n.重要部分,本质a.实质上的,物质的,有内容的 "
3571,despair,"n.绝望,失望vi.绝望 "
3572,diffuse,"v.散播,传播a.散开的,弥漫的 "
3573,conformity,"n.适合,一致,相似 "
3574,covet,"v.妄想,垂涎 "
3575,hobble,"vi.蹒跚vt.使跛行,阻碍n.跛行 "
3576,metaphorical,"a.隐喻性的,比喻性的 "
3577,abridge,"vt.删节,缩短,剥夺 "
3578,indecorous,"a.无体的,不合礼节的 "
3579,outdated,"a.旧式的,落伍的,过时的 "
3580,vector,"n.向量,矢量,带菌者vt.无线电导引 "
3581,conceivable,"a.想得到的,可想像的,可能的 "
3582,partial,"a.部分的,偏袒的,偏爱的n.泛音 "
3583,negate,"vt.否定,否认,打消 "
3584,exuberant,"a.繁茂的,丰富的,非凡的 "
3585,casual,"a.偶然的,不经意的,便装的n.临时工,待命士兵 "
3586,emporium,"n.商场,大百货商店 "
3587,derive,vt.得自vi.起源于 
3588,expurgate,"vt.删除,修订,使纯洁 "
3589,dwindle,"vi.减少,缩小,衰落vt.使缩小 "
3590,galvanize,"vt.通电,镀锌,刺激 "
3591,ephemeral,"a.朝生暮死,短命,短暂的 "
3592,omission,"n.省略,遗漏,疏忽 "
3593,unanticipated,a.未预料到的;料想不到的;非预期的 
3594,reinforce,"vt.加强,增援,补充vi.求援,得到增援n.加固物 "
3595,initiate,"n.入会,开始a.新加入的vt.开始,传授 "
3596,refute,"vt.驳倒,反驳 "
3597,discontinuity,"n.断绝,中断,不连续 "
3598,equitable,"a.公平的,公正的 "
3599,exorbitant,"a.过度的,过高的,过分的 "
3600,satirize,"vt.讽刺,挖苦vi.写讽刺作品 "
3601,substantiate,"vt.使实体化,证实 "
3602,implacable,"a.难宽恕的,难和解的,执拗的 "
3603,dislodge,"vt.逐出,使移动,驱逐vi.离开原位 "
3604,uncensored,"a.未经审查的,无保留的 "
3605,gruff,"a.粗鲁的,粗率的,板着脸孔的 "
3606,dispersive,a.分散的 
3607,secretive,a.秘密的；偷偷摸摸的；促进分泌的 
3608,aspersion,"n.洒水,诽谤,中伤 "
3609,vanquish,"vt.打败,征服,克服 "
3610,disseminate,"vt.散播,传播,宣传vi.广为传播 "
3611,flank,"n.侧面,侧腹vt.攻击侧面,面临着,守侧面 "
3612,inception,"n.起初,获得学位 "
3613,recrimination,"n.揭丑,反责 "
3614,insurrection,n.暴动；叛乱 
3615,contract,"n.婚约,契约vt.使缩短,感染,缔结,承包,订约 "
3616,irreverence,"n.不敬,非礼,不敬的行为 "
3617,perfidious,"a.不诚实的,背信的,有异心的 "
3618,clumsily,"ad.笨拙,粗陋,不漂亮 "
3619,adversity,"n.不幸,灾祸 "
3620,obstreperous,"a.吵闹的,喧嚣的,乱闹的,任性的 "
3621,politicize,vi.搞政治vt.使具有政治性 
3622,malfeasance,"n.不正当,不法行为,坏事,渎职 "
3623,explanatory,"a.说明的,解释的,辩明的 "
3624,enfranchise,"vt.给予自治权,给予选举权,解放 "
3625,vigilant,"a.警醒的,警戒着的,警惕的 "
3626,faintly,"ad.微弱地,模糊地,朦胧地 "
3627,resurgence,"n.再起,复活,再现 "
3628,pantomime,"n.手势,哑剧,舞剧v.打手势,演哑剧 "
3629,unaware,a.不知道的 
3630,immersion,"n.沉浸,专心,陷入 "
3631,erratically,"ad.不规律地,不定地 "
3632,inundate,"vt.浸水,泛滥,淹没,使充满 "
3633,diligence,n.勤奋 
3634,contagious,"a.传染性的,会蔓延的,会传播的 "
3635,rediscover,vt.再发现 
3636,pertinent,"a.相关的,中肯的,切题的 "
3637,calumny,"n.诽谤,中伤 "
3638,scrutinize,"vt.⑴细察,详审⑵仔细打量,端详 "
3639,languor,"n.怠惰,疲倦,无气力 "
3640,courteous,"a.彬彬有礼,谦恭的 "
3641,categorize,vt.把…分类;将…归类 
3642,nonchalant,"a.不关心的,冷淡的,平静的 "
3643,lethargy,"n.昏睡,瞌睡,无力气 "
3644,fitful,"a.断断续续的,一阵阵的,间歇的 "
3645,prank,"n.开玩笑,恶作剧,戏谑vt.盛装,装饰,打扮 "
3646,doctrinaire,"n.空论家,纯理论家a.空论的,纯理派的 "
3647,disclaimer,"n.放弃,拒绝,不承诺,放弃者 "
3648,contrive,"v.发明,设计,图谋 "
3649,encroach,"vi.侵犯,侵蚀,蚕食 "
3650,discomfit,"vt.打破,败走,打破计划 "
3651,harangue,"n.热烈的讨论,长篇大论,夸张的话 "
3652,manipulative,"a.用手处理的,巧妙处理的,窜改的 "
3653,entrench,"vt.围以壕沟,防护,保卫,使盘踞vi.掘壕,侵犯 "
3654,significant,"a.重要的,有含义的,非偶然的,有效的,暗示的 "
3655,exultant,"a.非常高兴的,欢跃的 "
3656,buoy,"n.浮标,浮筒,救生圈vt.使浮起,支撑,鼓励 "
3657,holistic,"a.整体的,全盘的 "
3658,smug,"n.书呆子,自命不凡的家伙a.自鸣得意的 "
3659,insensitive,"a.对…没有感觉的,感觉迟钝的 "
3660,exemplary,"a.可仿效的,可做模范的 "
3661,hindsight,"n.枪的照尺,后见之明 "
3662,fortuitous,a.偶然的 
3663,acronym,"n.缩写字,字头语 "
3664,unprecedented,a.空前的 
3665,vex,"vt.使烦恼,恼怒 "
3666,jingoism,"n.侵略主义,沙文主义,爱国主义,主战论 "
3667,subsistence,"n.生存,生活 "
3668,paragon,"n.模范,优秀之人,完美之物 "
3669,moderation,"n.缓和,适度,温和 "
3670,adroit,"a.熟练的,敏捷的 "
3671,treacly,"a.如蜜糖的,如蜜糖一样甜的,甜蜜的 "
3672,tonic,"n.补药a.滋补的,声调的,使振作的 "
3673,insolence,"n.傲慢,无礼,傲慢的态度 "
3674,pugnacious,a.好斗的 
3675,improvisational,a.即兴的 
3676,intricate,"a.复杂的,错综的,缠结的,难懂的 "
3677,spontaneous,"a.自发的,自然的,无意识的 "
3678,invasive,"a.侵入的,侵略性的,攻击性的 "
3679,receptivity,"n.感受性,接受能力 "
3680,consolidate,"vt.巩固,使联合,统一vi.巩固 "
3681,unapproachable,"a.不易接近的,不可亲的,无与伦比的 "
3682,intractable,"a.不听话的,倔强的,棘手的 "
3683,enigma,"n.谜,不可思议的东西 "
3684,inflexible,"a.不屈曲的,不屈挠的,顽固的 "
3685,meticulous,"a.一丝不苟的,精确的,过细的 "
3686,tension,"n.紧张,不安,拉紧,电压,压力,张力vt.拉紧,使紧张 "
3687,inconsistency,"n.不一致,不调和,矛盾 "
3688,aberration,"n.越轨,光行差,心理失常,色差 "
3689,confound,"vt.使混淆,使狼狈,挫败 "
3690,cheerfully,ad.高高兴兴地 
3691,panache,"n.（帽子等的）羽饰,夸示,假威风,炫耀 "
3692,retrenchment,"n.⑴削减,减少支出,节约⑵缩短,削除⑶堡垒 "
3693,cacophony,"n.不愉快的音调,不和谐的声音,杂音 "
3694,controversy,"n.论争,辩论,论战,争论 "
3695,evenhanded,"a.公平的,公平无私的 "
3696,dogmatist,"n.独断家,独断论者 "
3697,unsuitable,a.不适合的 
3698,mendacity,"n.虚伪,谎话,说谎癖 "
3699,inert,a.惰性的;呆滞的;迟缓的;无效的 
3700,apolitical,a.不关心政治的 
3701,enormous,"a.巨大的,庞大的 "
3702,prohibitive,"a.禁止的,抑制的 "
3703,sustain,"vt.承受,支持,供养,继续,忍受,准许,证实,蒙受 "
3704,proponent,"n.建议者,支持者 "
3705,emblem,"n.象征,徽章vt.用象征表示 "
3706,irrepressible,"a.镇压不住的,抑制不住的 "
3707,urgency,"n.紧急,催促,强求 "
3708,thoughtless,"a.没有考虑的,无深虑的,轻率的 "
3709,salient,"a.显著的,突出的,跳跃的n.凸角,突出部分 "
3710,conscientious,"a.有责任心的,负责的,本着良心的 "
3711,retrograde,"a.后退的,倒退的,退步的vi.倒退,退步,逆行 "
3712,retain,"vt.保持,保有,聘请,记得,留住 "
3713,sturdy,"a.强健的,健全的 "
3714,commendation,"n.赞赏,嘉奖,推荐 "
3715,cathartic,"n.泻药,通便药a.通便的,导泻的 "
3716,compulsive,"a.强制的,强迫的 "
3717,invariable,"n.不变的东西,常数a.不变的,不易的,常数的 "
3718,flotsam,"n.废料,零碎 "
3719,insipid,"a.没有味道的,清淡的,难吃的 "
3720,protest,"n.vt.主张,断言,抗议书,反对,抗议 "
3721,pedant,"n.炫学者,自夸学者的人,空谈家 "
3722,locution,"n.说话法,语风,语法 "
3723,mellifluous,a.<声音、音乐等>流畅的;甜美的 
3724,inferiority,"n.自卑,次等 "
3725,pathos,"n.感伤,悲怆,悲情 "
3726,resolute,"n.果断的人a.坚决的,刚毅的,毅然的 "
3727,inclusive,"a.包含的,包括的 "
3728,leniency,"n.宽大,深情,慈悲为怀 "
3729,unattainable,"a.难到达的,难得到的 "
3730,scathing,"a.伤害的,损伤的,足致伤害的 "
3731,impromptu,"n.即席演出,即兴曲a.即席的ad.即席 "
3732,foible,"n.弱点,缺点,自负的地方 "
3733,prosaic,"a.散文的,散文体的,散文性的 "
3734,nitpicker,"n.挑剔者,吹毛求疵者 "
3735,conscript,"a.被征入伍的,被征召的n.征兵vt.征召 "
3736,derelict,"a.被抛弃了的,玩忽职守的n.遗弃物,被遗弃者 "
3737,indefinite,a.不确定的；模糊的；无限的 
3738,remonstrate,"vi.表示异议,抗议,责备vt.抗议地说 "
3739,misapplication,"n.误用,滥用 "
3740,regressive,"a.后退的,逆行的,退化的,回归的 "
3741,dignify,"vt.增威严,使高贵,故作显贵 "
3742,researcher,n.研究员 
3743,curable,"a.可医治的,医得好的 "
3744,blather,"vi.喋喋不休地讲,说废话n.废话,胡说 "
3745,suspicion,"n.怀疑,觉察,嫌疑 "
3746,arable,"a.适于耕种的,可耕的 "
3747,accusation,"n.控告,指控,非难 "
3748,chicanery,"n.强词夺理,狡辩,欺骗 "
3749,melodrama,"n.音乐剧,通俗剧,戏剧似的事件 "
3750,rouse,"n.觉醒,奋起vt.唤醒,鼓舞,惊起,使振奋 "
3751,charitable,"a.⑴仁慈的,慈善的⑵富于博爱精神的⑶宽大 "
3752,despise,vt.轻视 
3753,innocuous,"a.无害的,无毒的 "
3754,strident,"a.刺耳的,吱吱尖叫的,尖锐的 "
3755,collage,n.抽象拼贴画 
3756,restrain,"vt.抑制,阻止,束缚 "
3757,reverence,"n.尊敬,威望,尊严vt.崇敬,敬畏,尊敬 "
3758,scoff,"n.嘲笑,食品,笑柄v.嘲笑,贪吃,狼吞虎咽 "
3759,premature,"a.早熟的,过早的,不按时的n.早产儿 "
3760,rigidity,"n.硬,僵化,硬度,刚性,坚硬 "
3761,corrective,"a.改正的,矫正的n.改善法,矫正物,中和物 "
3762,anonymity,"n.匿名,笔者不明 "
3763,tactile,"a.触觉的,有触觉的,能触知的 "
3764,provincial,"n.乡下人,地方人民a.省的,地方的,褊狭的 "
3765,arduous,"a.费力的,辛勤的,险峻的 "
3766,arboreal,"a.树的,乔木的,栖于树木的 "
3767,pertain,"vi.属于,关于,相称,适合,附属 "
3768,prodigy,"n.惊人的事物,不凡的人,神童 "
3769,unadorned,"a.未加修饰的;原来的,简朴的 "
3770,obstruction,"n.障碍,妨碍,闭塞 "
3771,cantankerous,"a.心地不良的,爱吵架的 "
3772,belated,a.迟来的 
3773,vagary,"n.奇特,好奇,奇特行为,奇想 "
3774,detractor,"n.(毁损名誉的)诽谤者,恶意批评者 "
3775,espouse,"vt.支持,赞成,嫁娶 "
3776,naysayer,n.否定者；拒绝者；老是唱反调的人 
3777,callow,"a.年轻而无经验的,(鸟)未生羽毛的 "
3778,syncopate,"vt.省略中间部分,把中间的字母省略掉 "
3779,antithesis,"n.对照,正相反,对比法 "
3780,purity,"n.纯净,纯正,纯粹 "
3781,renowned,"a.有名的,有声誉的 "
3782,lobbyist,"n.议院外的游说者,议院外的陈情者 "
3783,linchpin,"n.制轮楔,车辖,关键 "
3784,quiescent,"a.静止的,不活动的,寂静的 "
3785,avant-garde,[常the~;集合称]前卫艺术家a.前卫的 
3786,propensity,"n.倾向,爱好,习性 "
3787,mainstay,"n.支柱,中流砥柱 "
3788,disconnect,"vt.分离,不相连,拆开v.断开 "
3789,irrational,"n.无理数a.无理性的,不合理的 "
3790,reversal,"n.翻转,颠倒,反转 "
3791,perplex,"vt.使困惑,使复杂化,使为难 "
3792,nominal,"a.名义上的,名字的,有名无实的n.名词性词 "
3793,sensationalism,"n.⑴煽情主义,哗众取宠⑵[哲]感觉论 "
3794,preliminary,"n.初步行动,准备,初试a.初步的,预备的 "
3795,prosperous,"a.成功的,繁盛的,顺利的,幸运的 "
3796,aggregation,"n.集合,聚合,集合体 "
3797,dramatize,"vt.改编成戏剧,编写剧本vi.戏剧式地表现 "
3798,embrace,"n.拥抱vt.拥抱,包含,收买vi.拥抱 "
3799,indiscernible,"a.难识别的,看不见的 "
3800,catalyst,n.⑴[化学]触媒⑵催化剂⑶激发对方的人 
3801,petulant,"a.暴躁的,易生气的,难以取悦的 "
3802,chairperson,n.主席 
3803,magisterial,"a.长官的,威严的,有权威的 "
3804,embellishment,"n.装饰,润色,修饰 "
3805,remiss,"a.怠慢的,不小心的,迟缓的,疏忽的 "
3806,convergent,"a.趋集于一点的,会聚性的,收敛的 "
3807,conflagration,"n.大火灾,大火,突发 "
3808,snob,"n.势利的人,假内行 "
3809,meditate,"vt.想,考虑,计划vi.沉思,反省 "
3810,contour,n.轮廓vt.画轮廓a.与轮廓相符的 
3811,dissemination,"n.散播,传播,普及 "
3812,trustworthy,a.可信赖的 
3813,verbalization,"n.以言语表现,冗长,累赘 "
3814,vilify,"vt.诽谤,贬低,轻视 "
3815,equivocate,"vi.说模棱两可的话,支吾 "
3816,confession,"n.自认,自白,招供 "
3817,unpalatable,"a.不适口的,味道差的,不好吃的 "
3818,latent,"a.潜伏性的,隐藏的n.隐约的指印 "
3819,sagacity,"n.睿智,聪敏 "
3820,steadfast,"a.坚定的,踏实的,固定的,不变的 "
3821,inhospitable,"a.冷淡的,不和气的,不亲切的 "
3822,subsidize,"vt.给予补助金,给予奖助金,贿赂 "
3823,impetuous,"a.冲动的,猛烈的,轻率的,急躁的 "
3824,refutation,"n.反驳,辩驳,反驳的言论或意见 "
3825,groundbreaking,n.(建筑工程之)破土(典礼) 
3826,interminable,"a.无限的,冗长的 "
3827,venerability,"n.尊敬,尊严,庄严 "
3828,exotic,"a.异国的,外来的n.外来物,舶来品 "
3829,tranquillise,v.使安静；使镇定 
3830,accentuate,"vt.以重音念,强调,重读 "
3831,clairvoyant,"a.透视的,有透视力的n.透视者,千里眼的人 "
3832,inauspicious,"a.不吉的,凶兆的,厄运的 "
3833,revolutionize,"vt.鼓吹革命,大事改革 "
3834,impenetrable,"a.不能穿过的,不可理喻的,费解的,顽固的 "
3835,phlegmatic,"a.⑴多痰的⑵黏液质的,冷漠的,冷静的 "
3836,unjust,a.不公平的 
3837,diaphanous,"a.透明的,精致的 "
3838,antagonistic,"a.反对的,敌对的 "
3839,disincline,"vt.使讨厌,不感兴趣 "
3840,frivolous,"a.轻佻的,妄动的,琐碎的 "
3841,rigorous,"a.严厉的,严酷的,严格的,精确的,严密的,苛刻的 "
3842,creativity,"n.创造力,创造 "
3843,rebellious,"a.造反的,反抗的,难控制的 "
3844,disputatious,"a.争论性的,好议论的,好争论的 "
3845,sedulous,"a.勤勉的,勤苦工作的,聚精会神的 "
3846,prescribe,"v.规定,命令,开处方,嘱咐,指示 "
3847,nudge,"n.用肘轻推,悄悄推,引起注意 "
3848,specious,"a.徒有其表的,似是而非的,外表美观的 "
3849,sentimental,"a.感伤性的,感情脆弱的 "
3850,incidental,"a.附带的,偶然的,容易发生的n.附带事件 "
3851,rationality,"n.合理性,纯理性,辨别道理 "
3852,consternation,"n.惊愕,恐怖,惊惶失措 "
3853,punctilious,"a.精密细心的,一丝不苟的,拘泥形式的 "
3854,retroactive,"a.反动的,追溯的,有追溯力的 "
3855,anachronistic,a.时代错误的 
3856,belittle,"vt.轻视,使渺小 "
3857,eliminate,"vt.除去,排除,剔除,消除 "
3858,forbearance,"n.节制,自制,忍耐 "
3859,immature,"a.不成熟的,未完全发展的 "
3860,incongruity,"n.不调和,不一致,不配合 "
3861,excise,"n.货物税,国产税vt.切除 "
3862,solicitous,"a.热心的,渴望的,热切期望的 "
3863,blatant,"a.喧嚣的,吵闹的,俗丽的,炫耀的 "
3864,plausibility,"n.似有道理,善装门面,善辩 "
3865,bungle,"v.拙劣地工作,粗制滥造,失败n.粗劣,失败,笨拙 "
3866,reclusive,"a.隐遁的,隐居的 "
3867,nurture,"n.养育,营养物,教育vt.养育,给予营养物,教养 "
3868,euphonious,"a.音响好的,悦耳的,和谐的 "
3869,impetuosity,"n.激烈,猛烈,性急 "
3870,assimilation,"n.同化,同化作用,消化 "
3871,modesty,"n.谦逊,质朴,羞怯 "
3872,dirge,"n.挽歌,哀悼歌 "
3873,bankrupt,n.破产者a.破产了的vt.使破产 
3874,tranquil,a.安静的，平静的；安宁的；稳定的 
3875,irony,"n.反讽,讽刺,讽刺之事 "
3876,irreproachable,"a.不可非难的,无缺点的,无过失的 "
3877,inaccessible,"a.难接近的,难达到的,难达成的 "
3878,presumptuous,"a.放肆的,冒昧的,冒失的 "
3879,comprehensible,"a.可理解的,易于了解的 "
3880,objectivity,n.⑴客观性⑵对象性 
3881,buttress,"n.拱壁,扶壁,支持物vt.支持,以扶壁支撑 "
3882,precarious,"a.不稳定的,不安的,危险的 "
3883,wan,"a.苍白的,无血色的,病态的,暗淡的v.(使)变苍白 "
3884,cerebral,a.脑的，大脑的 
3885,thunderous,"a.将要打雷的,像打雷的 "
3886,complicity,"n.共谋,共犯,连累 "
3887,cherish,"vt.珍爱,怀有,爱护 "
3888,founder,"n.创立者,建立者vi.摔倒,变跛,倒塌,失败 "
3889,impute,"vt.归罪,使负责,嫁祸于 "
3890,penurious,"a.⑴贫穷的,穷困的⑵吝啬的 "
3891,levy,"n.征税,召集,课征vt.征收,发动,召集 "
3892,abstraction,"n.抽象化,心不在焉,提炼,抽象派作品 "
3893,insubstantial,"a.脆弱的,无实体的,非实质的 "
3894,tactful,"a.机智的,老练的,委婉的 "
3895,unexpectedness  ,n.出乎意外 
3896,apportionment,"n.分配,分摊,分派 "
3897,ramble,"n.漫步,闲谈vi.漫步,漫谈,漫游,蔓延vt.闲逛于 "
3898,economical,"a.节俭的,经济的,合算的 "
3899,lucid,"a.清澈的,透明的,透彻的 "
3900,troubadour,n.抒情诗人 
3901,copious,"a.很多的,丰富的,广识的 "
3902,polemic,"n.争论,辩论者a.好争论的 "
3903,unstinting,"a.不吝啬的,慷慨的 "
3904,regress,"v.⑴退回,后退,逆行;回归⑵退步,堕落 "
3905,turpitude,"n.奸恶,卑鄙 "
3906,compunction,"n.良心的责备,后悔,悔恨 "
3907,sarcasm,"n.挖苦,讽刺 "
3908,deserter,"n.背弃者,脱党者,逃亡者 "
3909,vignette,"n.⑴小装饰图案⑵半身照片,插图⑶小品文 "
3910,opportunism,"n.临机应变主义,机会主义,投机主义 "
3911,rejection,"n.拒绝,抛弃,驳回,呕出物,排泄物,被抛弃的东西 "
3912,plight,"n.境况,誓约,困境vt.宣誓,保证,约定 "
3913,presumption,"n.专横,放肆,可能性,推测,假定 "
3914,perfunctory,"a.敷衍的,循例的,机械性的 "
3915,stunt,"n.特技,花招,矮小物vt.阻碍成长vi.表演特技 "
3916,dispassionate,"a.冷静的,不带感情的 "
3917,bountiful,"a.慷慨的,宽大的 "
3918,denunciation,"n.谴责,告发 "
3919,tractable,a.易于管教的 
3920,abstemious,"a.节制的,节约的 "
3921,complement,"n.补足物,补语,余角vt.补助,补足 "
3922,temporal,"a.当时的,暂时的,太阳穴的,世俗的n.世间万物 "
3923,paramount,"n.首长,最高当局a.最重要的,最高的,至上的 "
3924,unproductive,"a.无生产的,无出产的,不毛的 "
3925,enforce,"vt.强迫,执行,坚持 "
3926,dissolve,"v.溶解,解散 "
3927,efficacious,"a.有效的,灵验的 "
3928,expansive,a.广阔的；豪爽的；扩张的 
3929,magnify,"vt.放大,扩大,赞美,夸大vi.有放大能力 "
3930,external,"n.外部,外面a.外部的,客观的,表面的 "
3931,attenuate,"v.变薄,使…薄,变细 "
3932,complimentary,"a.问候的,称赞的,夸奖的 "
3933,concede,"vt.承认,退让vi.让步 "
3934,bedazzle,"vt.使眩惑,使困惑 "
3935,nonpartisan,"a.不属于党派的,非党员的,无党无派的 "
3936,momentous,"a.重大的,重要的 "
3937,parch,"vt.炒,烤,烘,使干透vi.烤干,焦干 "
3938,contiguous,"a.邻近的,接近的 "
3939,principal,"n.首长,本金,委托人,资本,主犯a.主要的,重要的 "
3940,inconsistent,"a.不一致的,不合理的,矛盾的 "
3941,euphemism,n.委婉的说法 
3942,predominant,"a.优越的,卓越的,有力的 "
3943,avocation,"n.副业,嗜好 "
3944,imperious,"a.专横的,傲慢的,迫切的 "
3945,taunt,"n.辱骂,嘲弄vt.嘲弄,奚落a.很高的 "
3946,musing,"a.沉思的,冥想的 "
3947,discipline,"n.训练,纪律vt.训练,惩罚 "
3948,fragility,"n.脆弱,虚弱 "
3949,notorious,"a.声名狼藉的,恶名昭张的,众人皆知的 "
3950,unnatural,"a.不自然的,反常的,不近人情的 "
3951,exaggeration,"n.夸张,夸大之词 "
3952,abhor,"vt.憎恶,痛恨 "
3953,jeopardize,"vt.危害,使受危困,使陷危地 "
3954,maverick,"n.未烙印记的小牛,不服从的人vi.迷路 "
3955,extremist,"n.极端主义者,走极端者 "
3956,foolhardy,"a.愚勇的,有勇无谋的 "
3957,penchant,"n.[对…的]强烈嗜好,偏好;倾向[for] "
3958,longevity,"n.长命,长寿,寿命 "
3959,scope,"n.范围,机会,广度,导弹射程,观察仪器,眼界 "
3960,felicitous,"a.巧妙的,极为适当的,可喜的 "
3961,extenuate,"vt.减轻,使人原谅 "
3962,luxurious,"a.豪华的,奢侈的,放纵的 "
3963,advancement,"n.前进,进步 "
3964,prestigious,"a.享有声望的,声望很高的 "
3965,deliberation,"n.熟虑,熟思,协议 "
3966,scrupulous,"a.小心谨慎的,细心的 "
3967,unappreciated,a.未被欣赏的 
3968,sparse,"a.稀疏的,稀稀落落的,薄的 "
3969,hasten,"vt.催促,促进vi.赶快,急忙 "
3970,affiliation,"n.加入,联盟,友好关系 "
3971,bully,"n.欺凌弱小者,土霸vt.威胁,恐吓,欺负vi.欺负 "
3972,waft,"vt.吹送,使飘荡vi.飘荡n.吹送,飘荡 "
3973,amiable,"a.亲切的,和蔼可亲的 "
3974,caustic,n.腐蚀剂a.腐蚀性的 
3975,licentious,a.放肆的 
3976,erudition,n.博学 
3977,revitalize,"vt.使恢复生气,使复活,使复兴 "
3978,infelicity,"n.不幸,不吉,不适当 "
3979,ardor,"n.热心,热情 "
3980,overjoy,vt.使大喜 
3981,contemplative,"a.沉思的,爱默想的,冥想的 "
3982,hazardous,"a.危险的,冒险的,赌运气的 "
3983,legendary,"a.⑴传说的,传奇性的⑵著名的n传说集 "
3984,quarantine,"n.隔离,封锁交通,检疫期间vt.检疫,停止交涉 "
3985,vile,"a.恶劣的,简陋的,低廉的,卑鄙的 "
3986,perturb,"vt.扰乱,使混乱,使心慌 "
3987,expertise,"n.专家的意见,专门技术 "
3988,spontaneous,"a.自然的,自发的,未经琢磨的 "
3989,churlish,a.粗野的 
3990,remorseful,a.懊悔的；悔恨的 
3991,antipode,n.正相反的事物 
3992,detest,"vt.厌恶,憎恨 "
3993,sacrosanctity,"n.神圣不可侵犯,至圣 "
3994,idiosyncratic,"a.特质的,异质的,特殊的 "
3995,unwieldy,"a.难处理的,难使用的,笨重的 "
3996,pluralistic,"a.兼管数个教堂的,兼职的,多元论的 "
3997,spellbind,"vt.以咒语压住,迷住 "
3998,sagacious,"a.睿智的,聪明的,贤明的 "
3999,diffuse,"v.散播,传播a.散开的,弥漫的 "
